id	molecular_formula	name	inchi	inchi_key
HMDB0001525	C3H4N2	Imidazole	InChI=1S/C3H4N2/c1-2-5-3-4-1/h1-3H,(H,4,5)	RAXXELZNTBOGNW-UHFFFAOYSA-N
HMDB0001527	C4H8O2S	3-Methylthiopropionic acid	InChI=1S/C4H8O2S/c1-7-3-2-4(5)6/h2-3H2,1H3,(H,5,6)	CAOMCZAIALVUPA-UHFFFAOYSA-N
HMDB0001532	C10H16N5O12P3	Deoxyadenosine triphosphate	InChI=1S/C10H16N5O12P3/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(16)6(25-7)2-24-29(20,21)27-30(22,23)26-28(17,18)19/h3-7,16H,1-2H2,(H,20,21)(H,22,23)(H2,11,12,13)(H2,17,18,19)/t5-,6+,7+/m0/s1	SUYVUBYJARFZHO-RRKCRQDMSA-N
HMDB0001537	C8H11NO3	6-Hydroxydopamine	InChI=1S/C8H11NO3/c9-2-1-5-3-7(11)8(12)4-6(5)10/h3-4,10-12H,1-2,9H2	DIVDFFZHCJEHGG-UHFFFAOYSA-N
HMDB0001539	C8H18N4O2	Asymmetric dimethylarginine	InChI=1S/C8H18N4O2/c1-12(2)8(10)11-5-3-4-6(9)7(13)14/h6H,3-5,9H2,1-2H3,(H2,10,11)(H,13,14)/t6-/m0/s1	YDGMGEXADBMOMJ-LURJTMIESA-N
HMDB0001544	C7H5ClO2	m-Chlorobenzoic acid	InChI=1S/C7H5ClO2/c8-6-3-1-2-5(4-6)7(9)10/h1-4H,(H,9,10)	LULAYUGMBFYYEX-UHFFFAOYSA-N
HMDB0001553	C5H8O3S	2-Oxo-4-methylthiobutanoic acid	InChI=1S/C5H8O3S/c1-9-3-2-4(6)5(7)8/h2-3H2,1H3,(H,7,8)	SXFSQZDSUWACKX-UHFFFAOYSA-N
HMDB0001563	C11H15N5O5	1-Methylguanosine	InChI=1S/C11H15N5O5/c1-15-9(20)5-8(14-11(15)12)16(3-13-5)10-7(19)6(18)4(2-17)21-10/h3-4,6-7,10,17-19H,2H2,1H3,(H2,12,14)/t4-,6-,7-,10-/m1/s1	UTAIYTHAJQNQDW-KQYNXXCUSA-N
HMDB0001565	C5H15NO4P	Phosphorylcholine	InChI=1S/C5H14NO4P/c1-6(2,3)4-5-10-11(7,8)9/h4-5H2,1-3H3,(H-,7,8,9)/p+1	YHHSONZFOIEMCP-UHFFFAOYSA-O
HMDB0001587	C8H6O3	Phenylglyoxylic acid	InChI=1S/C8H6O3/c9-7(8(10)11)6-4-2-1-3-5-6/h1-5H,(H,10,11)	FAQJJMHZNSSFSM-UHFFFAOYSA-N
HMDB0001624	C6H12O3	2-Hydroxycaproic acid	InChI=1S/C6H12O3/c1-2-3-4-5(7)6(8)9/h5,7H,2-4H2,1H3,(H,8,9)	NYHNVHGFPZAZGA-UHFFFAOYSA-N
HMDB0001644	C5H10O5	D-Xylulose	InChI=1S/C5H10O5/c6-2-5(9)4(8)3(7)1-10-5/h3-4,6-9H,1-2H2/t3-,4+,5-/m1/s1	LQXVFWRQNMEDEE-MROZADKFSA-N
